Cargo;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Ocupação;Partido;Região;Situação totalização;Turno;UF;Votos válidos;Votos nominais;Data de carga
Prefeito;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;PACATUBA;IARA MARIA FEITOSA DE LIMA MARTINS;Enfermeiro;PSD;NORDESTE;Eleito;1;SE;9391;5374;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);55 a 59 anos;Masculino;Ensino Médio completo;CONDE;JOSÉ ANÍSIO ALMEIDA DE OLIVEIRA;Outros;UNIÃO;NORDESTE;Eleito;1;BA;15163;7664;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;RODELAS;EMANUEL RODRIGUES FERREIRA;Prefeito;PC do B;NORDESTE;Eleito;1;BA;6558;3932;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);35 a 39 anos;Feminino;Superior completo;JOÃO CÂMARA;AIZE TALIANNE BEZERRA DE SOUZA;Empresário;PSDB;NORDESTE;Eleito;1;RN;22122;11369;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Feminino;Superior completo;CENTRAL DO MARANHÃO;CLEUDILENE GONÇALVES PRIVADO BARBOSA;Prefeito;MDB;NORDESTE;Eleito;1;MA;6464;4428;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;ARARUNA;AVAILDO LUIS DE ALCÂNTARA AZEVEDO;Administrador;PP;NORDESTE;Eleito;1;PB;11924;6242;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);50 a 54 anos;Masculino;Ensino Fundamental completo;TAVARES;GENILDO JOSÉ DA SILVA;Empresário;PSB;NORDESTE;Eleito;1;PB;9490;5308;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;OURO BRANCO;SAMUEL OLIVEIRA DE SOUTO;Prefeito;PL;NORDESTE;Eleito;1;RN;3893;2375;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;CAXINGÓ;MAGNUM FERNANDO CARDOSO DOS SANTOS;Prefeito;PP;NORDESTE;Eleito;1;PI;4936;3376;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Feminino;Superior completo;BOA VISTA DO GURUPI;DILCILENE GUIMARÃES DE MELO OLIVEIRA;Prefeito;PL;NORDESTE;Eleito;1;MA;5583;3110;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Feminino;Superior completo;BOM LUGAR;MARLENE SILVA MIRANDA;Prefeito;UNIÃO;NORDESTE;Eleito;1;MA;8665;8665;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;SANTA MARIA DA VITÓRIA;ANTONIO ELSON MARQUES DA SILVA;Pecuarista;UNIÃO;NORDESTE;Eleito;1;BA;24544;16329;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;AÇAILÂNDIA;BENJAMIM DE OLIVEIRA;Médico;UNIÃO;NORDESTE;Eleito;1;MA;61022;26269;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;JUNCO DO SERIDÓ;PAULO NEIDE MELO FRAGOSO;Médico;PSB;NORDESTE;Eleito;1;PB;4056;4056;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;UMARI;ALEX SANDRO RUFINO FERREIRA;Prefeito;PSD;NORDESTE;Eleito;1;CE;5544;4256;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;ALVORADA DO GURGUÉIA;LECIO GUSTAVO SOUSA BEZERRA;Prefeito;MDB;NORDESTE;Eleito;1;PI;4167;2224;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;BOTUPORÃ;EDIMILSON ANTONIO SARAIVA;Prefeito;PT;NORDESTE;Eleito;1;BA;4757;4757;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;GALINHOS;HUDSON MATIAS CAVALCANTE;Comerciante;PSDB;NORDESTE;Eleito;1;RN;2603;2019;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);25 a 29 anos;Masculino;Superior completo;MUTUÍPE;JOÃO CARLOS RAUEDYS CARDOSO DA SILVA;Agricultor;PT;NORDESTE;Eleito;1;BA;14575;7170;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);30 a 34 anos;Feminino;Superior completo;SÃO FRANCISCO DO OESTE;GISELY PORFIRIO CAVALCANTE;Assistente Social;UNIÃO;NORDESTE;Eleito;1;RN;3608;2268;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;PRATA;GENIVALDO FERNANDES DA SILVA;Prefeito;REPUBLICANOS;NORDESTE;Eleito;1;PB;3555;2796;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;SANTA MARIA DO CAMBUCÁ;ALEX ROBEVAN DE LIMA;Administrador;PV;NORDESTE;Eleito;1;PE;9480;5478;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Superior incompleto;ILHA DAS FLORES;ROBSON MARTINS DE LIMA;Prefeito;UNIÃO;NORDESTE;Eleito;1;SE;6057;4324;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;BELO MONTE;DALMO AUGUSTO DE ALMEIDA JÚNIOR;Prefeito;MDB;NORDESTE;Eleito;1;AL;4865;3882;2025-05-06 19:30:57
Prefeito;Parda;Divorciado(a);55 a 59 anos;Feminino;Superior completo;QUEIMADAS;DELÚSIA BARROS DA SILVA;Empresário;REPUBLICANOS;NORDESTE;Eleito;1;PB;28379;19529;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);25 a 29 anos;Masculino;Superior completo;ROSÁRIO;JONAS MAGNO MACHADO MORAES;Empresário;PDT;NORDESTE;Eleito;1;MA;26059;13165;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);65 a 69 anos;Masculino;Superior completo;ARAPIRACA;JOSE LUCIANO BARBOSA DA SILVA;Prefeito;MDB;NORDESTE;Eleito;1;AL;118644;100890;2025-05-06 19:30:57
Prefeito;Parda;Divorciado(a);50 a 54 anos;Masculino;Superior incompleto;CORRENTINA;WALTER MARIANO MESSIAS DE SOUZA;Empresário;UNIÃO;NORDESTE;Eleito;1;BA;22910;12697;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);35 a 39 anos;Masculino;Superior completo;IBIQUERA;CARLOS CEZAR DE ALMEIDA SANTOS QUEIROZ;Contador;AVANTE;NORDESTE;Eleito;1;BA;3600;2306;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);50 a 54 anos;Feminino;Superior completo;CONDE;KARLA MARIA MARTINS PIMENTEL;Prefeito;PP;NORDESTE;Eleito;1;PB;21960;14410;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);45 a 49 anos;Masculino;Ensino Fundamental completo;CAMPESTRE DO MARANHÃO;FERNANDO OLIVEIRA DA SILVA;Prefeito;PSB;NORDESTE;Eleito;1;MA;8315;4541;2025-05-06 19:30:57
Prefeito;Parda;Divorciado(a);50 a 54 anos;Feminino;Superior incompleto;REDENÇÃO;SELMA MARINHO FERNANDES;Administrador;PSB;NORDESTE;Eleito;1;CE;18470;14076;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;INGÁ;JANDERSON DE OLIVEIRA CHAVES;Outros;PL;NORDESTE;Eleito;1;PB;13007;5672;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;HUGO NAPOLEÃO;LUCIANO BARRETO DE CARVALHO FILHO;Empresário;PT;NORDESTE;Eleito;1;PI;3868;2403;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);45 a 49 anos;Masculino;Superior completo;TIMBAÚBA DOS BATISTAS;IVANILDO ARAÚJO DE ALBUQUERQUE FILHO;Advogado;PP;NORDESTE;Eleito;1;RN;2469;1743;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);45 a 49 anos;Masculino;Ensino Médio completo;QUIXABA;ALLAN D'LLON CANDEIA DE MACEDO;Motorista de Veículos de Transporte Coletivo de Passageiros;REPUBLICANOS;NORDESTE;Eleito;1;PB;2200;1841;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Feminino;Superior completo;NILO PEÇANHA;JACQUELINE SOARES DE OLIVEIRA;Prefeito;PODE;NORDESTE;Eleito;1;BA;8375;4369;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);40 a 44 anos;Feminino;Superior completo;JARDIM DO SERIDÓ;SILVANA AZEVEDO DA COSTA;Advogado;REPUBLICANOS;NORDESTE;Eleito;1;RN;8945;5220;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);30 a 34 anos;Masculino;Superior incompleto;ITAREMA;MARCOS ROBÉRIO RIBEIRO MONTEIRO FILHO;Empresário;PSB;NORDESTE;Eleito;1;CE;28216;17440;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;CEDRAL;DANILO RAFAEL FERREIRA MORAES;Enfermeiro;PSB;NORDESTE;Eleito;1;MA;8031;3953;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;RIACHO DE SANTANA;JOAO VITOR MARTINS LARANJEIRA;Prefeito;PSD;NORDESTE;Eleito;1;BA;18894;10955;2025-05-06 19:30:57
Prefeito;Preta;Casado(a);35 a 39 anos;Feminino;Superior completo;LAGOA DO PIAUÍ;CAMILA BARBOSA SOUSA OLIVEIRA;Enfermeiro;PT;NORDESTE;Eleito;1;PI;4705;2799;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;MILHÃ;LUIZ ALAN PINHEIRO MACEDO;Administrador;PSB;NORDESTE;Eleito;1;CE;9503;6469;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;GURJÃO;JOSÉ ELIAS BORGES BATISTA;Prefeito;PSB;NORDESTE;Eleito;1;PB;2776;1766;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;ITAPECURU MIRIM;LUIS FILLIPE TORRES FILGUEIRA;Médico;PRD;NORDESTE;Eleito;1;MA;36873;11055;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental completo;CANÁPOLIS;REGINALDO DE SOUZA PEREIRA;Prefeito;AVANTE;NORDESTE;Eleito;1;BA;7600;4958;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;JUAZEIRO DO NORTE;GLÊDSON LIMA BEZERRA;Policial Civil;PODE;NORDESTE;Eleito;1;CE;156753;83514;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);65 a 69 anos;Feminino;Superior completo;PALMEIRA DOS ÍNDIOS;LUISA JULIA DUARTE;Servidor Público Municipal;MDB;NORDESTE;Eleito;1;AL;41781;23994;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;SURUBIM;CLÉBER JOSÉ DE AGUIAR DA SILVA;Deputado;UNIÃO;NORDESTE;Eleito;1;PE;39249;18500;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;BARRO;HERICLES GEORGE FEITOSA ALBUQUERQUE;Médico;MDB;NORDESTE;Eleito;1;CE;12835;8259;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;MONTEIRO;ANA PAULA BARBOSA OLIVEIRA MORATO;Enfermeiro;PSB;NORDESTE;Eleito;1;PB;21328;12608;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;ARACI;MARIA BETIVANIA LIMA DA SILVA;Prefeito;PDT;NORDESTE;Eleito;1;BA;31514;19628;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;RIACHÃO DO DANTAS;LUCIVALDO DO CARMO DANTAS;Outros;PSD;NORDESTE;Eleito;1;SE;14675;6363;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;OLHO D'ÁGUA DAS CUNHÃS;CLEDIVAL DE ALCANTARA SOUZA;Empresário;PP;NORDESTE;Eleito;1;MA;11924;7324;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);30 a 34 anos;Masculino;Superior completo;SÃO JOSÉ DO BELMONTE;VINICIUS MARQUES ALVES;Engenheiro;PSB;NORDESTE;Eleito;1;PE;20452;15349;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;SABOEIRO;ANTONIO FRANCISCO DE LIMA;Empresário;MDB;NORDESTE;Eleito;1;CE;10922;5988;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;SÃO BENTO;GERFERSON GARCIA DE SOUSA;Comerciante;PSB;NORDESTE;Eleito;1;PB;26556;14196;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;DAMIÃO;SIMONE DE AZEVEDO SANTOS CASADO;Prefeito;PSB;NORDESTE;Eleito;1;PB;4035;2344;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Feminino;Superior completo;BOQUEIRÃO DO PIAUÍ;GENIR FERREIRA DA SILVA;Prefeito;PT;NORDESTE;Eleito;1;PI;4752;2466;2025-05-06 19:30:57
Prefeito;Parda;Divorciado(a);35 a 39 anos;Feminino;Superior completo;LAJE;JACIARA REIS DOS SANTOS;Servidor Público Municipal;PSD;NORDESTE;Eleito;1;BA;16938;8737;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;NOVA IBIÁ;MARCIO TARANTINE SOUZA SAMPAIO;Agricultor;AVANTE;NORDESTE;Eleito;1;BA;4752;2498;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Fundamental incompleto;BELÉM;ADALBERTO ANTERO TORRES;Comerciante;PP;NORDESTE;Eleito;1;AL;3746;2568;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);25 a 29 anos;Masculino;Ensino Médio completo;IGARAPÉ GRANDE;JOÃO VITOR PEIXOTO MOURA XAVIER;Estudante, Bolsista, Estagiário e Assemelhados;PDT;NORDESTE;Eleito;1;MA;7089;4987;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);30 a 34 anos;Masculino;Superior completo;POTENGI;SALVIANO LINARD DE ALENCAR;Empresário;PDT;NORDESTE;Eleito;1;CE;6847;4246;2025-05-06 19:30:57
Prefeito;Preta;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;OLINDA NOVA DO MARANHÃO;VALDENIR PENHA DINIZ;Outros;MOBILIZA;NORDESTE;Eleito;1;MA;9343;4711;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Feminino;Ensino Médio completo;MULUNGU;DANIELA RODRIGUES RIBEIRO;Servidor Público Municipal;REPUBLICANOS;NORDESTE;Eleito;1;PB;4580;4580;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;MORRO DO CHAPÉU;JULIANA PEREIRA ARAUJO LEAL;Advogado;PDT;NORDESTE;Eleito;1;BA;20595;14475;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);65 a 69 anos;Masculino;Ensino Fundamental completo;SÃO JOSÉ DO CAMPESTRE;ERIBALDO LIMA;Prefeito;MDB;NORDESTE;Eleito;1;RN;9018;3810;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;CAPITÃO GERVÁSIO OLIVEIRA;RAIMUNDO COELHO;Agricultor;PT;NORDESTE;Eleito;1;PI;3592;1837;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;SÃO JOSÉ DO SABUGI;EMANUEL DE ARAÚJO DOMICIANO DANTAS;Odontólogo;UNIÃO;NORDESTE;Eleito;1;PB;3196;3196;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);60 a 64 anos;Feminino;Ensino Médio completo;MARI;LUCIA DE FATIMA SANTOS DA SILVA;Outros;PSB;NORDESTE;Eleito;1;PB;7621;7621;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Feminino;Superior completo;IPU;MILENA DAMASCENO CARNEIRO;Empresário;PT;NORDESTE;Eleito;1;CE;27936;14519;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);45 a 49 anos;Masculino;Ensino Médio completo;UBATÃ;VINICIUS DO VALE DE SOUZA;Prefeito;PT;NORDESTE;Eleito;1;BA;9461;5454;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;LUÍS EDUARDO MAGALHÃES;ONDUMAR FERREIRA BORGES JUNIOR;Prefeito;PP;NORDESTE;Eleito;1;BA;55329;46212;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);55 a 59 anos;Masculino;Superior incompleto;CRUZ DAS ALMAS;EDNALDO JOSÉ RIBEIRO;Empresário;REPUBLICANOS;NORDESTE;Eleito;1;BA;39426;24916;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;IRACEMA;CELSO GOMES DA SILVA NETO;Prefeito;PT;NORDESTE;Eleito;1;CE;10362;5279;2025-05-06 19:30:57
Prefeito;Preta;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;BURITI DOS MONTES;JOSÉ OLAVO MARINHO DE LOIOLA JÚNIOR;Prefeito;MDB;NORDESTE;Eleito;1;PI;5995;5699;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;MERUOCA;JOSE HERTON ALVES DE SOUSA;Prefeito;PT;NORDESTE;Eleito;1;CE;11368;7017;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;SÃO JOÃO DA SERRA;JOÃO FRANCISCO GOMES DA ROCHA;Empresário;PSD;NORDESTE;Eleito;1;PI;5810;2928;2025-05-06 19:30:57
Prefeito;Branca;Divorciado(a);45 a 49 anos;Masculino;Superior completo;CHÃ GRANDE;SANDRO CORREA DOS SANTOS;Advogado;AVANTE;NORDESTE;Eleito;1;PE;15555;9640;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;PACOTI;MARCOS VENICIOS NORJOSA GONZAGA;Prefeito;PT;NORDESTE;Eleito;1;CE;9310;3959;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);35 a 39 anos;Masculino;Superior incompleto;TURILÂNDIA;JOSÉ PAULO DANTAS SILVA NETO;Empresário;UNIÃO;NORDESTE;Eleito;1;MA;12975;8752;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);70 a 74 anos;Feminino;Superior completo;GLÓRIA;ENA VILMA PEREIRA DE SOUZA NEGROMONTE;Odontólogo;PP;NORDESTE;Eleito;1;BA;10734;5971;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;CACHOEIRA DOS ÍNDIOS;ALYSON FRANCISCO DE MOURA SOUSA;Empresário;PP;NORDESTE;Eleito;1;PB;6618;3529;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;PAULINO NEVES;RAIMUNDO DE OLIVEIRA FILHO;Economista;SOLIDARIEDADE;NORDESTE;Eleito;1;MA;12430;6559;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);30 a 34 anos;Masculino;Ensino Médio completo;COITÉ DO NÓIA;BUENO HIGINO DE SOUZA SILVA;Empresário;PP;NORDESTE;Eleito;1;AL;7692;5687;2025-05-06 19:30:57
Prefeito;Branca;Viúvo(a);70 a 74 anos;Feminino;Superior completo;EMAS;ANA ALVES DE ARAÚJO LOUREIRO;Prefeito;PSB;NORDESTE;Eleito;1;PB;3529;2007;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);70 a 74 anos;Masculino;Superior completo;BOA VENTURA;MANOEL VITAL NETO;Professor de Ensino Superior;REPUBLICANOS;NORDESTE;Eleito;1;PB;4396;2572;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);65 a 69 anos;Masculino;Superior completo;BONFIM DO PIAUÍ;PAULO HENRIQUE RIBEIRO;Administrador;MDB;NORDESTE;Eleito;1;PI;4205;3667;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;BERNARDINO BATISTA;ANTONIO ALDO ANDRADE DE SOUSA;Contador;PSB;NORDESTE;Eleito;1;PB;2277;2277;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);75 a 79 anos;Masculino;Ensino Fundamental incompleto;SANTANA;JOSÉ RAUL ALKMIM LEÃO;Empresário;MDB;NORDESTE;Eleito;1;BA;17520;10325;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;VERA CRUZ;IGOR PINHO SANTOS;Advogado;MDB;NORDESTE;Eleito;1;BA;29215;19326;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio incompleto;CATOLÂNDIA;GIOVANNI MOREIRA DOS SANTOS;Prefeito;AVANTE;NORDESTE;Eleito;1;BA;4013;2202;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;MULUNGU DO MORRO;ACÁCIO TELES DOS SANTOS;Servidor Público Municipal;MDB;NORDESTE;Eleito;1;BA;9349;4698;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;MADALENA;CRISPIANO BARROS UCHOA;Professor de Ensino Fundamental;MDB;NORDESTE;Eleito;1;CE;12415;7659;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;SERRINHA;CYRO OLIVEIRA SILVA NOVAIS;Advogado;MDB;NORDESTE;Eleito;1;BA;48434;21100;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;SÃO PEDRO DOS CRENTES;RÔMULO COSTA ARRUDA;Prefeito;REPUBLICANOS;NORDESTE;Eleito;1;MA;4321;2798;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;NAZAREZINHO;MARCELO BATISTA VALE;Empresário;REPUBLICANOS;NORDESTE;Eleito;1;PB;6409;3927;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);35 a 39 anos;Masculino;Ensino Médio completo;LAJEADO NOVO;ITAIRES LOBO SANTOS DE ANDRADE;Empresário;REPUBLICANOS;NORDESTE;Eleito;1;MA;6025;3022;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;ACOPIARA;FRANCISCO VILMAR FELIX MARTINS;Médico;PSB;NORDESTE;Eleito;1;CE;32778;18009;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Fundamental incompleto;PEDRAS DE FOGO;JOSÉ CARLOS FERREIRA BARROS;Agricultor;MDB;NORDESTE;Eleito;1;PB;20292;13533;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;PARATINGA;VITOR FERREIRA DE SANTANA;Farmacêutico;PT;NORDESTE;Eleito;1;BA;19425;13430;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;CAROLINA;JAYME FONSECA ESPÍRITO SANTO;Empresário;PSDB;NORDESTE;Eleito;1;MA;15217;7233;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;SÃO FÉLIX DO CORIBE;TONI MARCOS SANTOS;Bancário e Economiário;PP;NORDESTE;Eleito;1;BA;10802;5953;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;REMANSO;MARCOS CARVALHO PALMEIRA;Prefeito;PC do B;NORDESTE;Eleito;1;BA;25771;14849;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;SOBRADINHO;REGIS CLEIVYS SAMPAIO BENTO;Prefeito;PSD;NORDESTE;Eleito;1;BA;17132;12896;2025-05-06 19:30:57
Prefeito;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;TIMBIRAS;PAULO VINICIUS LIMA DA SILVA;Contador;PRD;NORDESTE;Eleito;1;MA;16158;7403;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);30 a 34 anos;Masculino;Superior completo;CAJUEIRO DA PRAIA;FELIPE DE CARVALHO RIBEIRO;Contador;PT;NORDESTE;Eleito;1;PI;6319;4185;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);30 a 34 anos;Feminino;Superior completo;VILA FLOR;THUANNE KARLA CARVALHO DE SOUZA;Prefeito;MDB;NORDESTE;Eleito;1;RN;2809;2002;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Fundamental completo;CÂNDIDO MENDES;JOSE BONIFÁCIO ROCHA DE JESUS;Prefeito;PL;NORDESTE;Eleito;1;MA;13299;8956;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;APUAREMA;ROBERTO SANTOS AMORIM;Professor de Ensino Fundamental;AVANTE;NORDESTE;Eleito;1;BA;5179;2896;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;SANTO INÁCIO DO PIAUÍ;AURO APARECIDO DE CARVALHO;Servidor Público Estadual;PT;NORDESTE;Eleito;1;PI;3305;1818;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;CONCEIÇÃO DO CANINDÉ;DIOGO JANES DE OLIVEIRA;Outros;PSD;NORDESTE;Eleito;1;PI;4312;2410;2025-05-06 19:30:57
Prefeito;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;LARANJEIRAS;JOSE DE ARAUJO LEITE NETO;Prefeito;MDB;NORDESTE;Eleito;1;SE;16952;11901;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);30 a 34 anos;Masculino;Superior completo;MURIBECA;MÁRIO CESAR DA SILVA CONSERVA;Advogado;PSD;NORDESTE;Eleito;1;SE;6312;4016;2025-05-06 19:30:57
Prefeito;Branca;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;AMÉRICA DOURADA;JOELSON CARDOSO DO ROSARIO;Agricultor;PSD;NORDESTE;Eleito;1;BA;10390;7980;2025-05-06 19:30:57
Prefeito;Preta;Solteiro(a);45 a 49 anos;Masculino;Superior completo;ARATUÍPE;ANTONIO MARCOS ARAUJO DE SOUZA;Prefeito;PC do B;NORDESTE;Eleito;1;BA;7083;4773;2025-05-06 19:30:57
Prefeito;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;TEOFILÂNDIA;HIGO MOURA MEDEIROS;Prefeito;PSB;NORDESTE;Eleito;1;BA;14461;8574;2025-05-06 19:30:57
